"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Aal, Flussaal m";"(common) eel";"ål";"aal, paling";"Anguilla anguilla"
"Aalmutter f";"eelpout, viviparous blenny";"ålekvabbe";"puitaal";"Zoarces viviparus"
"Abkommen, das (-s; -); Vertrag, der (-es; Verträge)";"agreement";"aftale (-n; -r); overenskomst (-en; -er)";"overeenkomst, de verdrag, het";
"ablagern (v.)";"deposit (v.)";"aflagre; lagre; aflejre (v.)";"afzetten; deponeren (ww.)";
"Ablagerung, die (-; -en)";"deposition";"aflejring (-en; -er)";"afzetting, de";
"ablandig; außerhalb der Küstengewässer; Hochsee-…";"offshore";"havplaceret; i rum sø; offshore-…";"voor de kust; offshore";
"Absicht, die (-; -en); Zielsetzung, die (-, -en)";"aim";"formål (-et; -); hensigt (-en; -er)";"doelstelling, de";
"absondern; ausscheiden (v.)";"secrete (v.)";"afsondre; udsondre (v.)";"afzonderen; afscheiden (ww.)";
"Abstehender Salzschwaden m";"reflexed saltmarsh-grass";"udspærret annelgræs";"stomp kweldergras n";"Pucinella distans"
"Abtragung, die (-; -en)";"erosion";"edbrydning (-en; -er)";"afbraak, de; erosie, de";
"Acker-Gänsediestel f";"field sow-thistle";"ager-svinemælk";"akkermelkdistel";"Sonchus arvensis"
"Acker-Hornkraut n";"field mouse-ear; chickweed";"storblomstret hønsetarm";"akkerhoornbloem";"Cerastium arvense"
"Acker-Kleinling m";"chaffweed";"knudearve";"dwergbloem";"Anagallis minima"
"Acker-Kratzdiestel f";"(plumed) thistle";"bladhoved-tisdel sp.";"akkerdistel";"Cirsium arvense"
"Acker-Krummhals m";"bugloss";"krumhals";"kromhals";"Anchusa arvensis"
"Ackerröte";"blue field madder";"blåstjerne";"blauw walstro n";"Sherardia arvensis"
"Acker-Schmalwand f";"thale cress";"almindelig gåsemad";"zandraket";"Arabidopsis thaliana"
"Ackerwinde f";"flield bindweed";"ager-snerle";"akkerwinde";"Convolvulus arvensis"
"Acker-Witwenblume f";"field scabious";"blåhat";"beemdkroon";"Knautia arvensis"
"akkumulieren; ansammeln: sich ~ (v.)";"accumulate (v.)";"ophobe (v.)";"accumuleren; verzamelen: zich ~ (ww.)";
"aktiv";"active";"aktiv";"actief";
"Alge, die (-; -n)";"alga (pl.: algae)";"alge (-n; -r)";"zeewier, het; algen (pl.)";
"Algenblüte, die (-; -n)";"algal bloom";"algeblomstring (-en; -er)";"algebloei, de";
"Alpenstrandläufer m";"dunlin";"almindelig ryle";"bonte strandloper";"Calidris alpina"
"Amerikanische Auster f";"American (eastern) oyster";"amerikansk østers";"amerikaanse oester";"Crassostrea virginica"
"Amerikanische Bohrmuschel f";"false angel wing; American piddock";"amerikansk boremusling";"amerikaanse boormossel";"Petricola pholadiformes"
"Amerikanische Pantoffelschnecke f";"common slipper shell";"tøffelsnegl";"muiltje; slipper n";"Crepidula fornicata"
"Amerikanische Schwertmuschel f";"Atlantic jackknife (razor) clam";"amerikansk knivmusling";"amerikaanse zwaardschede";"Ensis americanus (directus)"
"Amerikanische Teichsimse f";"chairmaker’s bulrush; three-square";"kogleaks";"stekende bies";"Schoenoplectus americanus / Scirpus olneyi"
"Amt, das (-es; Ämter); Abteilung, die (-; -en)";"department";"afdeling (-en; -er)";"ambt, het; afdeling, de";
"analysieren (v.)";"analyse (v.)";"analysere (v.)";"analyseren (ww.)";
"Andel; Andelgras n";"common saltmarsh grass; sea poa";"strand-annelgræs";"gewoon kweldergras n";"Puccinellia maritima"
"Angelzeug, das (-s; no pl.)";"fishing tackle";"fiskegrej (-et; -er)";"visspullen, (pl.)";
"anhäufen; etw. auftürmen (v.)";"pile sth. up (v.)";"optårne ngt., opdynge (v.)";"ophopen; op(een)stapelen: zich ~ (ww.)";
"Anhörung, die (-; -en)";"hearing";"høring (-en; -er)";"hoorzitting, de";
"Anlegestelle, die (-; -n)";"landing stage; jetty";"anløbssted (-et; -er); anløbsplads (-en; -er)";"aanlegplaats, de";
"Anordnung, die (-; -en)";"regulation";"anordning (-en; -er)";"verordening, de";
"Anpassung, die (-; -en)";"adaptation";"tilpasning (-en; -er)";"aanpassing, de";
